STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-05,0.00,63,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-06,0.00,63,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-07,0.00,64,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-08,0.00,61,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-09,0.00,62,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-10,0.00,68,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-11,0.00,67,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-12,0.00,57,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-13,0.00,60,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-14,0.01,61,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-15,0.00,60,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-16,0.00,60,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-17,0.00,69,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-18,0.00,70,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-19,0.01,61,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-20,0.02,55,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-21,0.21,59,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-22,0.04,56,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-23,0.00,60,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-24,0.03,59,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-25,0.01,53,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-26,0.53,49,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-27,0.06,54,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-28,0.00,63,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-29,0.00,59,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-30,0.00,64,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-05-31,0.00,66,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-01,0.07,57,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-02,0.06,59,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-03,0.00,63,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-04,0.00,63,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-05,0.33,52,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-06,0.07,63,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-07,0.01,65,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-08,0.37,68,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-09,0.00,65,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-10,0.00,66,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-11,0.00,66,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-12,0.00,62,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-13,0.00,61,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-14,0.00,60,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-15,0.00,66,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-16,0.19,62,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-17,0.00,65,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-18,0.00,69,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-19,0.00,73,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-20,0.00,73,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-21,0.00,67,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-22,0.01,68,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-23,0.07,66,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-24,0.23,65,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-25,0.36,63,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-26,0.00,65,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-27,0.00,64,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-28,0.00,68,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-29,0.00,66,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-06-30,0.00,70,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-01,0.00,77,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-02,0.00,66,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-03,0.02,61,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-04,0.04,65,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-05,0.00,70,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-06,0.00,72,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-07,0.00,76,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-08,0.00,79,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-09,0.15,64,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-10,0.00,65,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-11,0.21,67,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-12,0.00,72,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-13,0.00,66,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-14,0.03,68,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-15,0.00,74,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-16,0.01,68,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-17,0.00,73,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-18,0.00,76,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-19,0.00,68,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-20,0.00,78,60
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-21,0.00,85,60
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-22,0.00,76,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-23,0.00,69,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1980-07-24,0.00,76,52
