CTD,20171201CCHSIOSEE
NUMBER_HEADERS = 14
EXPOCODE = 33RR20080204
SECT_ID = I06S
STNNBR = 97
CASTNO = 1
DATE = 20080305
TIME = 2343
LATITUDE = -68.2939
LONGITUDE = 31.1577
DEPTH =  1965
INSTRUMENT_ID = 725
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLUORM,FLUORM_FLAG_W,PAR,PAR_FLAG_W,SPAR,SPAR_FLAG_W,CTDNOBS,CTDETIME,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,,,SECONDS,/METER,
     136.0,2,   -1.6433,2,   34.3268,2,     305.5,2,     0.265,1,  -999.000,9,     0.005,1,        96,     708.9,    0.0273,2
     138.0,2,   -1.6458,2,   34.3289,2,     305.4,2,     0.266,1,  -999.000,9,     0.005,1,        48,     711.9,    0.0273,2
     140.0,2,   -1.6518,2,   34.3329,2,     305.4,2,     0.264,1,  -999.000,9,     0.005,1,        96,     715.4,    0.0265,2
     142.0,2,   -1.6530,2,   34.3352,2,     305.4,2,     0.260,1,  -999.000,9,     0.005,1,        36,     721.2,    0.0265,2
     144.0,2,   -1.6522,2,   34.3372,2,     305.4,2,     0.261,1,  -999.000,9,     0.005,1,        72,     723.4,    0.0265,2
     146.0,2,   -1.6495,2,   34.3376,2,     305.3,2,     0.260,1,  -999.000,9,     0.005,1,       132,     727.7,    0.0249,2
     148.0,2,   -1.6401,2,   34.3422,2,     305.2,2,     0.257,1,  -999.000,9,     0.005,1,        84,     732.2,    0.0229,2
     150.0,2,   -1.6383,2,   34.3427,2,     304.7,2,     0.256,1,  -999.000,9,     0.005,1,       120,     736.4,    0.0229,2
     152.0,2,   -1.6379,2,   34.3432,2,     304.7,2,     0.255,1,  -999.000,9,     0.005,1,        72,     740.4,    0.0221,2
     154.0,2,   -1.6378,2,   34.3433,2,     304.5,2,     0.257,1,  -999.000,9,     0.005,1,       108,     744.2,    0.0221,2
     156.0,2,   -1.6376,2,   34.3431,2,     304.6,2,     0.256,1,  -999.000,9,     0.005,1,       108,     748.7,    0.0221,2
     158.0,2,   -1.6350,2,   34.3442,2,     304.6,2,     0.256,1,  -999.000,9,     0.005,1,        72,     752.4,    0.0221,2
     160.0,2,   -1.6306,2,   34.3457,2,     304.5,2,     0.254,1,  -999.000,9,     0.005,1,        72,     755.4,    0.0221,2
     162.0,2,   -1.6297,2,   34.3456,2,     304.3,2,     0.253,1,  -999.000,9,     0.005,1,       144,     759.9,    0.0213,2
     164.0,2,   -1.6263,2,   34.3472,2,     304.3,2,     0.252,1,  -999.000,9,     0.005,1,        48,     763.9,    0.0205,2
     166.0,2,   -1.6228,2,   34.3486,2,     304.1,2,     0.253,1,  -999.000,9,     0.005,1,        96,     766.9,    0.0205,2
     168.0,2,   -1.6207,2,   34.3492,2,     303.9,2,     0.251,1,  -999.000,9,     0.005,1,        96,     770.9,    0.0192,2
     170.0,2,   -1.6107,2,   34.3524,2,     303.9,2,     0.247,1,  -999.000,9,     0.005,1,        71,     774.4,    0.0176,2
     172.0,2,   -1.5978,2,   34.3558,2,     303.7,2,     0.246,1,  -999.000,9,     0.005,1,        47,     776.9,    0.0160,2
     174.0,2,   -1.5928,2,   34.3571,2,     303.5,2,     0.246,1,  -999.000,9,     0.005,1,        48,     778.9,    0.0160,2
     176.0,2,   -1.5916,2,   34.3569,2,     303.2,2,     0.247,1,  -999.000,9,     0.005,1,       108,     782.2,    0.0160,2
     178.0,2,   -1.5831,2,   34.3587,2,     302.9,2,     0.245,1,  -999.000,9,     0.005,1,        60,     785.7,    0.0160,2
     180.0,2,   -1.5784,2,   34.3595,2,     302.8,2,     0.245,1,  -999.000,9,     0.005,1,        36,     787.7,    0.0160,2
     182.0,2,   -1.5758,2,   34.3598,2,     302.7,2,     0.246,1,  -999.000,9,     0.005,1,        60,     789.7,    0.0160,2
     184.0,2,   -1.5740,2,   34.3600,2,     302.5,2,     0.245,1,  -999.000,9,     0.005,1,        83,     792.7,    0.0160,2
     186.0,2,   -1.5669,2,   34.3612,2,     302.3,2,     0.244,1,  -999.000,9,     0.005,1,        59,     795.7,    0.0148,2
     188.0,2,   -1.5609,2,   34.3623,2,     302.1,2,     0.243,1,  -999.000,9,     0.005,1,        60,     798.2,    0.0140,2
     190.0,2,   -1.5538,2,   34.3635,2,     301.9,2,     0.244,1,  -999.000,9,     0.005,1,        48,     800.4,    0.0148,2
     192.0,2,   -1.5412,2,   34.3652,2,     301.5,2,     0.242,1,  -999.000,9,     0.005,1,        71,     802.9,    0.0132,2
     194.0,2,   -1.5199,2,   34.3684,2,     301.0,2,     0.241,1,  -999.000,9,     0.005,1,        72,     805.9,    0.0124,2
     196.0,2,   -1.4979,2,   34.3714,2,     300.5,2,     0.240,1,  -999.000,9,     0.005,1,        59,     808.6,    0.0124,2
     198.0,2,   -1.4798,2,   34.3740,2,     300.2,2,     0.239,1,  -999.000,9,     0.005,1,        48,     810.9,    0.0124,2
     200.0,2,   -1.4757,2,   34.3747,2,     299.8,2,     0.240,1,  -999.000,9,     0.005,1,        48,     812.9,    0.0116,2
     202.0,2,   -1.4712,2,   34.3754,2,     299.2,2,     0.239,1,  -999.000,9,     0.005,1,        96,     815.9,    0.0116,2
     204.0,2,   -1.4592,2,   34.3768,2,     298.8,2,     0.239,1,  -999.000,9,     0.005,1,        59,     819.2,    0.0104,2
     206.0,2,   -1.4493,2,   34.3786,2,     298.6,2,     0.239,1,  -999.000,9,     0.005,1,        36,     821.2,    0.0104,2
     208.0,2,   -1.4473,2,   34.3791,2,     298.6,2,     0.239,1,  -999.000,9,     0.005,1,        35,     822.7,    0.0104,2
     210.0,2,   -1.4384,2,   34.3800,2,     298.2,2,     0.239,1,  -999.000,9,     0.005,1,        96,     825.4,    0.0104,2
     212.0,2,   -1.4240,2,   34.3820,2,     297.9,2,     0.238,1,  -999.000,9,     0.005,1,        60,     828.7,    0.0096,2
     214.0,2,   -1.4034,2,   34.3845,2,     297.6,2,     0.237,1,  -999.000,9,     0.005,1,        35,     830.7,    0.0104,2
     216.0,2,   -1.3789,2,   34.3872,2,     297.5,2,     0.237,1,  -999.000,9,     0.005,1,        36,     832.2,    0.0096,2
     218.0,2,   -1.3631,2,   34.3889,2,     297.1,2,     0.237,1,  -999.000,9,     0.005,1,        48,     833.9,    0.0088,2
     220.0,2,   -1.3389,2,   34.3920,2,     296.0,2,     0.236,1,  -999.000,9,     0.005,1,        95,     836.9,    0.0088,2
     222.0,2,   -1.3282,2,   34.3942,2,     295.0,2,     0.236,1,  -999.000,9,     0.005,1,        60,     840.2,    0.0088,2
     224.0,2,   -1.3110,2,   34.3970,2,     294.6,2,     0.236,1,  -999.000,9,     0.005,1,        36,     842.2,    0.0096,2
     226.0,2,   -1.3035,2,   34.3984,2,     294.2,2,     0.236,1,  -999.000,9,     0.005,1,        36,     843.7,    0.0088,2
     228.0,2,   -1.2907,2,   34.3998,2,     293.8,2,     0.236,1,  -999.000,9,     0.005,1,        35,     845.2,    0.0088,2
     230.0,2,   -1.2850,2,   34.4004,2,     293.3,2,     0.236,1,  -999.000,9,     0.005,1,       108,     848.2,    0.0096,2
     232.0,2,   -1.2707,2,   34.4025,2,     292.8,2,     0.235,1,  -999.000,9,     0.005,1,        46,     851.4,    0.0080,2
     234.0,2,   -1.2607,2,   34.4039,2,     292.7,2,     0.236,1,  -999.000,9,     0.005,1,        48,     853.4,    0.0080,2
     236.0,2,   -1.2533,2,   34.4048,2,     292.4,2,     0.235,1,  -999.000,9,     0.005,1,        36,     855.2,    0.0080,2
     238.0,2,   -1.2414,2,   34.4061,2,     292.0,2,     0.235,1,  -999.000,9,     0.005,1,        84,     857.7,    0.0080,2
     240.0,2,   -1.2169,2,   34.4092,2,     291.5,2,     0.235,1,  -999.000,9,     0.005,1,        59,     860.7,    0.0080,2
     242.0,2,   -1.1958,2,   34.4118,2,     291.1,2,     0.235,1,  -999.000,9,     0.005,1,        48,     862.9,    0.0080,2
     244.0,2,   -1.1560,2,   34.4162,2,     290.5,2,     0.235,1,  -999.000,9,     0.005,1,        35,     864.7,    0.0068,2
     246.0,2,   -1.1379,2,   34.4180,2,     290.0,2,     0.235,1,  -999.000,9,     0.005,1,        59,     866.7,    0.0068,2
     248.0,2,   -1.1304,2,   34.4193,2,     288.9,2,     0.234,1,  -999.000,9,     0.005,1,        72,     869.4,    0.0068,2
     250.0,2,   -1.1233,2,   34.4205,2,     288.1,2,     0.234,1,  -999.000,9,     0.005,1,        48,     871.9,    0.0068,2
     252.0,2,   -1.1084,2,   34.4226,2,     287.8,2,     0.234,1,  -999.000,9,     0.005,1,        36,     873.7,    0.0068,2
     254.0,2,   -1.0802,2,   34.4252,2,     287.4,2,     0.234,1,  -999.000,9,     0.005,1,        60,     875.7,    0.0068,2
     256.0,2,   -1.0464,2,   34.4296,2,     286.7,2,     0.234,1,  -999.000,9,     0.005,1,        60,     878.2,    0.0060,2
     258.0,2,   -1.0301,2,   34.4320,2,     285.8,2,     0.234,1,  -999.000,9,     0.005,1,        60,     880.7,    0.0068,2
     260.0,2,   -0.9989,2,   34.4361,2,     284.9,2,     0.233,1,  -999.000,9,     0.005,1,        47,     882.9,    0.0068,2
     262.0,2,   -0.9430,2,   34.4426,2,     284.1,2,     0.234,1,  -999.000,9,     0.005,1,        46,     884.9,    0.0060,2
     264.0,2,   -0.9114,2,   34.4466,2,     283.0,2,     0.233,1,  -999.000,9,     0.005,1,        60,     887.2,    0.0060,2
     266.0,2,   -0.8939,2,   34.4490,2,     281.5,2,     0.233,1,  -999.000,9,     0.005,1,        48,     889.4,    0.0060,2
