,Chinook,Coho,Sockeye
2020-09-18,,109.0,
2020-09-19,,446.0,
2020-09-20,,505.0,
2020-09-21,,371.0,
2020-09-22,,170.0,
2020-09-23,,13.0,
2020-09-24,,128.0,
2020-09-25,,128.0,
2020-09-26,,401.0,
2020-09-27,,119.0,
2020-09-28,,219.0,
2020-09-29,,81.0,
2020-09-30,,13.0,
2020-10-01,,44.0,
2020-10-02,,38.0,
